stagename,dateOfBirth
Beah Richards,
Jeff Richards,1922
Kim Richards,1964
Paul Richards,1924
Joely Richardson,
John Richardson,1936
Lee Richardson,
Natasha Richardson,
Ralph Richardson,1902
Harry Richman,1895
Mark Richman,1927
Kane Richmond,1906
Debi Richter,
Don Rickles,1926
Hal Riddle,1920
John Ridgeley,1909
Stanley Ridges,1892
Judith Ridley,
Leni Riefenstahl,1902
Peter Riegert,
Ron Rifkin,
Edward Rigby,1879
Terence Rigby,1937
Diana Rigg,1938
Terence Right,
Jack Riley,
Larry Riley,
Walter Rilla,1895
Shane Rimmer,
RinTinTin,1916
Molly Ringwald,1968
Brad Rinn,
Michael Ripper,1913
Arthur Riscoe,1896
Elizabeth Risdon,1887
Cyril Ritchard,1896
June Ritchie,1939
Kristen Riter,
Martin Ritt,1919
John Ritter,1948
Tex Ritter,1907
Thelma Ritter,1905
Harry Ritz,
The Ritz-Brothers,n.a.
Emmanuele Riva,1932
Cecilia Rivera,
Chita Rivera,1933
George Rivero,
George Rivers,
Joan Rivers,
Brian Rix,1924
Bert Roach,1891
Lilian Roams,1967
Adam Roarke,
Jason Robards,1893
Jason Robards~jr.,1920
Sam Robards,
Gale Robbins,1922
Jerome Robbins,1918
Mathew Robbins,
Richard Rober,1906
John C. Roberick,
Lyda Roberti,1910
Christian Roberts,
Doris Roberts,1930
Eric Roberts,1956
Glenn Roberts,
Julia Roberts,1967
Michael D. Roberts,
Pernell Roberts,1930
Rachel Roberts,1930
Roy Roberts,1900
Tanya Roberts,*
Teal Roberts,
Theodore Roberts,1861
Tony Roberts,1939
Jerrold Robertshaw,1866
Cliff Robertson,1925
Dale Robertson,1923
Dennis Robertson,
James Robertson,
Robbie Robertson,
Willard Robertson,1886
Paul Robeson,1898
Sir George Robey,1869
Hayward Robillard,
Dany Robin,1927
Andy Robinson,
Ann Robinson,
Bojangles Robinson,1878
Edward G. Robinson,1893
Francis Robinson,1916
Jay Robinson,1930
John Robinson,1908
Madeleine Robinson,1916
Flora Robson,1902
May Robson,1858
Wayne Robson,
Patricia Roc,1918
Alex Rocco,1936
Eugene Roche,1928
Jean Rochefort,1930
Sam Rockwell,1969
Marcia Rodd,
Anton Rodgers,1927
Percy Rodriques,1924
Maurice Roeves,
Buddy Rogers,1904
Ginger Rogers,1911
Jean Rogers,1916
Lela Rogers,
Kenny Rogers,1938
Mimi Rogers,1955
Paul Rogers,1917
Roy Rogers,1912
Wayne Rogers,1934
Will Rogers,1879
Helena Rojo,
Gilbert Roland,1905
Ruth Roland,1893
Guy Rolfe,1915
Howard E. Rollins~jr.,*
Yvonne Romain,1938
Leticia Roman,1939
Ruth Roman,1924
Vivianne Romance,1912
Andy Romano,
Mike Romanoff,1890
Steward Rome,1887
Sydney Rome,1947
Fred Romer,
Cesar Romero,1907
Edana Romney,1919
Maurice Ronet,1927
Linda Ronstadt,1946
Mickey Rooney,1920
Noel Roquev\'ert,1894
Francoise Rosay,1891
George Rose,1920
\'Slapsie' Maxie Rosenbloom,1906
Milton Rosmer,1881
Annie Ross,
Diana Ross,1944
Herbert Ross,1927
Katharine Ross,1942
Shirley Ross,1909
Yvonne Ross,
Isabella Rossellini,1955
George Rossi,
Leo Rossi,
Eleonora RossiDrago,1925
Norman Rossington,1928
Leonard Rossiter,1926
Lilian Roth,1910
Tim Roth,19bb
Richard Roundtree,1937
Robert Rounseville,1914
Mickey Rourke,1957
Dan Rowan,1922
Gena Rowlands,1934
Patsy Rowlands,1934
Lionel Royce,
Christian Rub,1887
Alma Rubens,1897
Saul Rubinek,
John Rubinstein,
Paul Rudd,1970
Herbert Rudley,1911
Rita Rudner,
Mercedes Ruehl,~1992
Charles Ruggles,1886
Heinz Ruhmann,1902
Barbara Ruick,1933
Janice Rule,1931
Sig Ruman,1884
John Rumar,
Jenny Runacre,1943
Jennifer Runyon,
Rupaul,
Barbara Rush,1927
Deborah Rush,
Elizabeth Rush,
William Russ,
Del Russel,1952
Theresa Russel,1957
Betsy Russell,
Craig Russell,
Gail Russell,1924
Harold Russell,1914
Jane Russell,1921
John Russell,1921
Ken Russell,
Kurt Russell,1951
Lillian Russell,1861
Nipsey Russell,1925
Rosalind Russell,1908
Gianni Russo,
Rene Russo,1955
Ann Rutherford,1917
Dame Margaret Rutherford,1892
Basil Ruysdael,1888
Fran Ryan,
Irene Ryan,1903
James Ryan,
John Ryan,1938
Kathleen Ryan,1922
Meg Ryan,1962
Mitch Ryan,1928
Peggy Ryan,1924
Robert Ryan,1909
Sheila Ryan,1921
Tim Ryan,1889
Raisa Ryazonova,
David Rydall,
Bobby Rydell,1942
Mark Rydell,1934
Winona Ryder,1971
Jack Ryland,
Yacef Saadi,
Sabu,1924
Greta Sacchi,
Stephen Sachs,
Michael Sacks,
Marianne Sagebrecht,
Kengji Sahara,
Mort Sahl,1926
Eva Marie Saint,1924
Michael SaintDenis,
Susan SaintJames,1946
S.Z. Sakall,1884
Harold Sakata,1920
Theresa Saldana,
Charles Sale,1885
P.J. Sales,
Soupy Sales,1926
Peter Sallis,1921
Albert Salmi,1928
Louis Salon,
Jennifer Salt,1944
Renato Salvatori,
Tatania Samoilova,1934
Will Sampson,1935
JoAnne Samuel,
Henry Sanada,
Jaime Sanchez,
Salvatore Sanchez,
Paul Sand,1944
Dominique Sanda,1948
Walter Sande,1906
George Sanders,1906
Scott Sanders,1885
William Sanderson,
Tiny Sandford,1894
Adam Sandler,1966
Steve Sandor,
Diana Sands,1934
Julian Sands,
Tommy Sands,1937
Erskine Sanford,1880
Ralph Sanford,1899
Laura SanGiacomo,1952
Olga SanJuan,1927
Tom Santchi,
Reni Santoni,1939
Joe Santos,
Tom Santschi,1879
Chris Sarandon,1942
Susan Sarandon,1946
Dick Sargent,1937
Michael Sarne,1939
Michael Sarrazin,1940
Jaqueline Sassard,1940
Ann Savage,1921
Fred Savage,1976
John Savage,1953
Vic Savage,
Dany Saval,1940
George Savalas,
Telly Savalas,1924
Tom Savini,
Jimmy Savo,1895
Teresa Ann Savoy,
Joseph Sawyer,1901
Peggy Sawyer,
John Saxon,1935
Greta Scacchi,1960
Gia Scala,1934
Diana Scarwid,
Felice Schacter,
Natalie Schafer,1912
Wendy Schall,
William Schallert,1922
Sabrina Scharf,
Roy Scheider,1934
Catherine Schell,
Maria Schell,1926
Maximilian Schell,1930
Ronnie Schell,
August Schellenberg,
Mary Kate Schellhardt,1979
Rosanna Schiaffino,1939
Ralph Schicha,
Claudia Schiffer,19bb
Joseph Schildkraut,1895
Gus Schilling,1908
Anja Schmidt,
Joseph Schmidt,1906
John Schneider,
Magda Schneider,
Maria Schneider,1952
Romy Schneider,1938
Michael Schoeffling,
Kyra Schon,
Avery Schreiber,
Max Schrek,1879
Rick Schroder,1970
John Schuck,1944
Dwight Schultz,
Reinhold Schunzel,1886
Scott Schwartz,
Maurice Schwarz,1891
Arnold Schwarzenegger,1947
Hanna Schygulla,1943
John Schyck,
Patti Scialfa,
Annbelle Sciorra,
Paul Scofield,1922
Edith Scon,
Zvee Scooler,
Martin Scorsese,
Campbell Scott,
David Scott,
Donovan Scott,
George C. Scott,1926
Gordon Scott,1927
Hazel Scott,1920
Jane Scott,
Janette Scott,1938
Kathryn Leigh Scott,1947
Ken Scott,
Lizabeth Scott,1922
Margaretta Scott,1912
Martha Scott,1914
Mary Scott,
Pippa Scott,1935
Randolph Scott,1903
Terry Scott,1927
Zachary Scott,1914
Vito Scotti,
Scraps,1914
Alexander Scourby,1913
Linda Scruggs,
Steven Seagal,1952
Barbara Seagull,1948
Franklyn Seales,
Jackie Searle,1920
Heather Sears,1935
Victor Seastrom,1879
James Seay,
Josef Sebanek,
Jean Seberg,1938
Harry Secombe,1921
George Segal,1934
Vivienne Segal,1897
Pierre Segui,
Emmanuelle Seigner,1967
Johnny Sekka,
David Selby,1941
Elizabeth Sellars,1923
Tom Selleck,
Peter Sellers,1925
Morton Selten,1860
Milton Selzer,
Larry Semon,1889
Kent Senatore,
Joe Seneca,
Massimo Serato,1917
Assumpta Serna,
Jacques Sernas,1925
Julieta Serrano,
Christopher Serrone,1976
Jean Servais,1910
Almira Sessions,1888
Sir Bruce Seton,1909
Pilar Seurat,
George Sewell,1924
Athene Seyler,1889
Anne Seymour,1909
Dan Seymour,1915
Jane Seymour,1951
Ralph Seymour,
Delphine Seyrig,1932
Kamran Shah,
ShabbaDoo,
Glen Shadix,
Wallace Shaen,
Paul Shaffer,
Tupac Shakur,1971
Tony Shalhoub,19bb
Harry Shannon,1890
Ken Shapiro,
Omar Sharif,1932
Ray Sharkey,1952
Anthony Sharp,
Albert Sharpe,
Cornelia Sharpe,
William Shatner,1931
Mickey Shaughnessy,1920
Helen Shaver,
Reta Shaw,1912
Robert Shaw,1927
Sebastian Shaw,1905
Stan Shaw,
Susan Shaw,1929
Susan Damante Shaw,
Victoria Shaw,1935
Wini Shaw,1899
Joan Shawlee,1929
Dick Shawn,1928
Wallace Shawn,
Robert Shayne,1910
Tamara Shayne,1897
John Shea,
Al Shean,1868
Harry Shearer,
Moira Shearer,1926
Norma Shearer,1900
Alice Sheedy,
Charlie Sheen,
Martin Sheen,1940
Johnny Sheffield,1931
Reginald Sheffield,1901
Gene Sheldon,1909
Barbara Shelley,1933
John Shelton,1917
Joy Shelton,1922
Susan Shentall,1934
Sam Shepard,1943
Cybill Shepherd,1949
Elizabeth Shepherd,
Michael Shepley,1907
Paula Sheppard,
John Shepperd,1907
Ann Sheridan,1915
Dinah Sheridan,1920
Margaret Sheridan,
Lowell Sherman,1885
Madeleine Sherwood,1926
Vladek Sheybal,1928
Arthur Shields,1895
Brooke Shields,1965
James Shigeta,1933
Joseph Shiloal,
Yoko Shimada,
Joanna Shimkus,1943
Yuki Shimoda,1924
Takashi Shimura,1905
Bill Shine,1911
Ronald Shiner,1903
Sue Shiomi,
Yumi Shirakawa,
Talia Shire,1947
Anne Shirley,1918
Anne Shoemaker,1891
Dan Shor,
Dinah Shore,1917
Dorothy Short,
Martin Short,1950
Winifred Shotter,1904
Robert Show,
Max Showalter,1904
Ricky Shroder,
Richard B. Shull,
Elizabeth Shue,1963
Mort Shuman,
Sabrina Siami,
Basil Sidney,
George Sidney,1878
Sylvia Sidney,1910
Gregory Sierra,
Simone Signoret,1921
Cynthia Sikes,
James B. Sikking,
Milton Sills,1882
Henry Silva,1928
Trididad Silva,
Silvain,
Cyndi Silver,
Joan Micklin Silver,1935
Joe Silver,
Ron Silver,1946
Frank Silvera,1914
Jay Silverheels,1919
Phil Silvers,1912
Alistair Sim,1900
Gerald Sim,1925
Sheila Sim,1922
Vasek Simek,1928
Arlene Simmons,
Jean Simmons,1929
Michel Simon,1895
Paul Simon,1942
Simone Simon,1910
Ivan Simpson,1875
O.J. Simpson,1947
Peggy Simpson,
Russel Simpson,1878
Joan Sims,1930
Frank Sinatra,1915
Nancy Sinatra,1940
Gordon John Sinclair,
Hugh Sinclair,1903
Donald Sinden,1923
Campbell Singer,1909
Lori Singer,
Marc Singer,
Steve Singer,
Penny Singleton,
Joseph Sirola,
Lilia Skala,
Hal Skelly,1891
Red Skelton,1910
Tom Skerritt,1933
Cornelia Otis Skinner,1901
Otis Skinner,1858
Alison Skipworth,1875
Helgi Skulason,
Olga Slade,
Richard B. Skull,
Jeremy Slate,1925
Christian Slater,1969
Helen Slater,
John Slater,1916
Richard X. Slattery,
Tod Slaughter,1885
Walter Slezak,1902
Hana Slikova,
Everett Sloane,1909
Olive Sloane,1896
Marya Small,
Alexis Smith,1921
Art Smith,1899
Brooke Smith,1968
Bubba Smith,
C.Aubrey Smith,1863
Charles Smith,1920
Charles Martin Smith,
Constance Smith,1929
Cyril Smith,1892
Jaclyn Smith,
John Smith,1931
Kate Smith,
Kent Smith,1907
Lane Smith,
Lois Smith,1930
Maggie Smith,1934
Mel Smith,
Paul Smith,
Rainbeaux Smith,
Rex Smith,
Roger Smith,1932
Innokenti Smoktunovsky,1925
Terri Susan Smith,
William Smith,
Sonja Smits,
Tom Smothers,1937
Wesley Snipes,
Carrie Snodgrass,1946
Jimmy `The Greek' Snyder,
Park Jong Sod,
Abraham Sofaer,1896
Sojin,
Vladimir Sokoloff,1889
P.J. Soles,
Ewen Solon,1923
Andrew Solt,
Suzanne Somers,1946
Julie Sommars,
Elke Sommer,1940
Josef Sommer,1930
Gale Sondergaard,1899
Paul Sonkkila,
Jack Soo,1916
Alberto Sordi,1919
Jean Sorel,1934
Louise Sorel,1944
Linda Sorenson,
Paul Sorvino,1939
Ann Sothern,1909
Talisa Soto,
David Soul,1943
Ann Southern,
Catherine Spaak,1945
Arthur Space,1908
Sissy Spacek,1950
Merrie Spaeth,
Fay Spain,
Vincent Spano,
Ned Sparks,1883
Camilla Sparv,1943
Hazel Spears,
Bruce Spence,
Bud Spencer,1929
George Spencer,
Jeremy Spenser,1937
Posh Spice,19bb
David Spielberg,
Joe Spinell,
Victor Spinetti,1932
The Loving Spoonful,n.a.
G.D. Spradlin,
Rick Springfield,
Ronald Squire,1886
Robert Stack,1919
James Stacy,
Frederick Stafford,1928
Richard Stahl,
Philip Stainton,1908
Sylvester Stallone,1946
James Staley,
Terence Stamp,1940
Enid StampTaylor,1904
Lionel Stander,1908
Guy Standing,1873
John Standing,1934
Michael StAngel,
Jiri Stanislav,
Forrest Stanley,
Kim Stanley,1921
Lora Stanley,
Frank Stanmore,
Harry Dean Stanton,1926
Barbara Stanwyck,1907
Jean Stapleton,1923
Maureen Stapleton,1925
Graham Stark,1922
Koo Stark,
Pauline Starke,1901
Kay Starr,
Ringo Starr,
Charles Starrett,1904
Valerie Starrett,
Imaelda Staunton,
Alison Steadman,
Anthony Steel,1920
Barbara Steele,1938
Bob Steele,1907
Tommy Steele,1936
Mary Steenburgen,1952
Simonetta Stefanelli,
Rod Steiger,1925
David Steinberg,
John Steiner,
Albert Steinruck,
Carolyn Steller,
Anna Sten,1908
Sting,
Karel Stepanek,1899
Susan Stephen,1931
Ann Stephens,1931
Harvey Stephens,
Harvey Stephens,1970
Martin Stephens,1949
Pamela Stephens,
Robert Stephens,1931
Henry Stephenson,1871
James Stephenson,1888
Pamela Stephenson,1951
Ilse Steppat,1917
Ford Sterling,1883
Jan Sterling,1923
Linda Sterling,
Robert Sterling,1917
Tisa Sterling,
Jimmy Sterman,
Daniel Stern,
Erik Stern,
Tom Stern,
Frances Sternhagen,
Andrew Stevens,1955
Casey Stevens,
Connie Stevens,1938
Craig Stevens,1918
Inger Stevens,1935
K.T. Stevens,1919
Leslie Stevens,1924
Mark Stevens,1916
Morgan Stevens,
Onslow Stevens,1902
Rise Stevens,1913
Robert Stevens,1925
Ronnie Stevens,1925
Stella Stevens,1936
Warren Stevens,1919
Housely Stevenson,1879
MacLean Stevenson,
Alana Stewart,
Alexandra Stewart,1939
Anita Stewart,1895
Athole Stewart,1879
Catherine Mary Stewart,
Charlotte Stewart,
Donald Stewart,
Elaine Stewart,1929
James Stewart,1908
Paul Stewart,1908
Patrick Stewart,
Sandy Stewart,
Sophie Stewart,1909
Renee StCyr,1907
Ivy StHelier,
Pat Stich,
David Ogden Stiers,
Hugo Stiglitz,
Ben Stiller,
Sting,n.a.
Raymond StJacques,1930
Al (`Fuzzy') StJohn,1893
Betta StJohn,1930
Christopher StJohn,
Howard StJohn,1905
Jill StJohn,1940
Nigel Stock,1919
Walter Stocker,
Betty Stockfield,1905
Dean Stockwell,1938
Guy Stockwell,1936
John Stockwell,
Austin Stoker,
Shirley Stoler,
Eric Stoltz,1962
Christopher Stone,
Danny Stone,
Fred Stone,
George E. Stone,1903
Harold J. Stone,1911
Ivory Stone,
Lewis Stone,1879
Marianne Stone,1920
Milburn Stone,1904
Philip Stone,
Sharon Stone,
Paolo Stoppa,1906
Larry Storch,1923
Gale Storm,1922
Ludwig Stossel,1883
Rose Stradner,1913
Beatrice Straight,1916
Glenn Strange,1899
Michael Strange,1890
Lee Strasberg,1901
Susan Strasberg,1938
Marcia Strassman,
Dorothy Stratten,1960
Peter Strauss,1942
Robert Strauss,1913
Meryl Streep,1949
Russel Streiner,
Barbra Streisand,1942
Ray Stricklyn,1930
John Stride,1936
Elaine Stritch,1926
Woody Strode,1914
Don Stroud,1937
Annette Stroyberg,
Sally Ann Struthers,1947
Barbara Stuart,
Binkie Stuart,1932
Gloria Stuart,1909
John Stuart,1898
Richard Styles,
Margaret Sullavan,1911
Barry Sullivan,1912
Ed Sullivan,
Francis L. Sullivan,1903
Michael Sullivan,
Tom Sullivan,
Frank Sully,1910
Madame SulTeWan,
Donna Summer,
Eleanor Summerfield,1921
Slim Summerville,1892
Geoffrey Sumner,1908
Clinton Sundberg,1919
Todd Susman,
Donald Sutherland,1935
Kiefer Sutherland,1968
Dudley Sutton,1933
Frank Sutton,
Grady Sutton,1908
John Sutton,1908
Janet Suzman,1939
Bo Svenson,1941
Dominique Swain,
Mack Swain,1876
Robert Swann,
Forrest Swanson,
Gary Swanson,
Gloria Swanson,1897
Maureen Swanson,1932
Gladys Swarthout,1904
Patrick Swayze,1952
Bob Sweeney,
Blanche Sweet,1895
Dolph Sweet,
Inga Swenson,1932
Stanley Swerdlow,
Nora Swinburne,1902
Tilda Swinton,
Loretta Swit,1937
Carl (`Alfalfa') Switzer,1926
Ken Swofford,
Basil Sydney,1894
Eric Sykes,1923
Harold Sylvester,
William Sylvester,1922
Sylvie,1883
Donald Symington,
Sylvia Syms,1934
Mr. T,
Sidney Tafler,1916
George Takei,
Lyle Talbot,1902
Constance Talmadge,1898
Natalie Talmadge,19bb
Norma Talmadge,1893
William Talman,1915
Tetsuro Tamba,1929
Russ Tamblyn,1934
Zoe Tamerlis,1965
Akim Tamiroff,1899
Mary Tamm,
Jessica Tandy,1909
Yoki Tani,1932
Tony Tanner,1932
Colin Tapley,1911
Quentin Tarantino,
Lilyan Tashman,1899
Reba Tassel,
Reginald Tate,1896
Sharon Tate,1943
Jaques Tati,1908
Sven-Bertil Taube,
Richard Tauber,1892
Vic Tayback,
Alma Taylor,1895
Delores Taylor,
Don Taylor,1920
Dub Taylor,
Elizabeth Taylor,1932
Estelle Taylor,1899
George Taylor,
Kent Taylor,1907
Kit Taylor,
Laurette Taylor,1884
Renee Taylor,
Rip Taylor,
Robert Taylor,1911
Rod Taylor,1929
Sharon Taylor,
Valerie Taylor,
Vaughn Taylor,
Zack Taylor,
Leigh TaylorYoung,1944
Ray Teal,1902
Conway Tearle,1878
Godfrey Tearle,1884
Verree Teasdale,1904
Shirley Temple,1928
Victoria Tennant,1950
William Tepper,
Ellaline Teriss,1871
Alice Terry,1899
Don Terry,1902
Ellen Terry,1848
Harry Terry,
Nigel Terry,
Philip Terry,1909
TerryThomas,
Laurent Terzieff,
Desmond Tester,1919
Joan Tetzel,1924
Lauren Tewes,
Heather Thatcher,1897
Torin Thatcher,1905
John Thaw,1942
Phyllis Thaxter,1921
Lorna Thayer,
Joe Theismann,
Jodi Thelen,
Charlize Theron,
Ernest Thesiger,1879
Jack Thibeau,
Ursula Thiess,1929
Helene Thimig,1889
Roy Thinnes,1938
Brondon Thomas,
Danny Thomas,1914
Heather Thomas,
Henry Thomas,
Jameson Thomas,1892
Kristin Scott Thomas,
Marlo Thomas,1944
Richard Thomas,1951
Terry Thomas,1911
Tim Thomerson,
Carlos Thompson,1916
Derek Thompson,
Dorri Thompson,
Emma Thompson,
Fred Thompson,dob
Eric Thompson,1929
Hal Thompson,
J.Lee Thompson,1914
Jack Thompson,1940
Lea Thompson,
Linda Thompson,
Kay Thompson,
Kim Thompson,
Marshall Thompson,1925
Sada Thompson,1929
Shawn Thompson,
Martha Thomsen,
Fred Thomson,1890
Sybil Thorndyke,1882
Frank Thornton,1921
Sigrid Thornton,1959
Frank Thring,
Thu Thuy,
Ingrid Thulin,1929
Bill Thurman,
Theodora Thurman,
Uma Thurman,1971
Tiana,
Lawrence Tibbett,1896
Joseph Ticka,
Cheryl Tiegs,
Gene Tierney,1920
Lawrence Tierney,1919
Zeffie Tilbury,1863
Nadja Tiller,1929
Mel Tillis,
Johnny Tillotson,
Jennifer Tilly,
Meg Tilly,1960
Charlene Tilton,
Martha Tilton,1915
Charles Tingwell,1917
Kenneth Tobey,1919
George Tobias,1901
Oliver Tobias,1947
Dan Tobin,1909
Genevieve Tobin,1901
Ann Todd,1909
Ann Todd,1932
Richard Todd,1919
Thelma Todd,1905
Ugo Tognazzi,1922
Sidney Toler,1878
Marilu Tolo,
Jeana Tomasina,
Marisa Tomei,
Andrew Tombes,1889
Lily Tomlin,1939
David Tomlinson,1917
Franchot Tone,1905
Regis Toomey,1902
Geoffrey Toonen,
Topol,1935
Marta Toren,1926
Mel Torm\'e,1923
Rip Torn,1931
David Torrence,1864
Ernest Torrence,1878
Raquel Torres,1908
Toto,
Audrey Totter,1918
Tamara Toumanova,
Harry Townes,
Jill Townsend,
Patrice Townsend,
Stuart Townsend,
J.R. Tozer,
Arthur Tracy,1903
Lee Tracy,1898
Spencer Tracy,1900
William Tracy,1917
Mary Ellen Trainor,
Helen Traubel,1899
Daniel J. Travanti,
Bill Travers,1922
Henry Travers,1874
Jemru Travers,
Linden Travers,1913
Nancy Travis,
Richard Travis,1913
John Travolta,1954
Arthur Treacher,1894
David Tree,1915
Mary Treen,1907
Luis Trenker,1893
Noel Trevarthen,
Austin Trevor,1897
Claire Trevor,1909
Jack Trevor,
Les Tremayne,
Ivan Triesault,1898
Trigger,1932
Tommy Trinder,1909
JeanLouis Trintignant,1930
Jeanne Tripplehorn,1964
Dorothy Tristan,
Massimo Troisi,1953
Judy Trott,
Patrick Troughton,1920
Cecil Trouncer,1898
Charles Trowbridge,1882
Michael Trubshawe,
Ernest Truex,1890
Francois Truffaut,1932
Ralph Truman,1900
Natalie Trundy,
Tom Tryon,1919
Paris Tselios,
Irene Tsu,1943
William Tubbs,1909
Forrest Tucker,1919
Michael Tucker,
Sophie Tucker,1884
Sonny Tufts,1911
Tom Tully,1896
Ann Turkel,
Elizabeth Turner,
Guinevere Turner,1968
Florence Turner,1887
Janine Turner,1964
John Turner,1932
Kathleen Turner,1954
Lana Turner,1920
Tina Turner,
Ben Turpin,1874
Rita Tushingham,1940
Dorothy Tutin,1930
Lurene Tuttle,
Shannon Tweed,
Tracy Tweed,
Helen Twelvetrees,1908
Twiggy,1946
Beverly Tyler,1924
Beverly Tyler,1924
Liv Tyler,
Charles Tyner,
Susan Tyrrell,1946
Cicely Tyson,1933
Margaret Tyzack,1933
Meier Tzelniker,1894
Leslie Uggams,1943
Liv Ullmann,1939
Tracey Ullman,1959
Leonore Ulric,1892
Miyoshi Umeki,1929
Edward Underdown,1908
Mary Ure,1933
Minerva Urecal,1896
Robert Urich,
Robert Urquhart,1922
Peter Ustinov,1921
Badi Uzza,
Brenda Vaccaro,1939
Vera Vague,
Karen Valentine,1948
Rudolph Valentino,1895
Frederick Valk,1901
Rudy Vallee,1901
Alida Valli,1921
Romolo Valli,
Virginia Valli,1898
Raf Vallone,1916
Saverio Vallone,
Bobby Van,1930
Irene Vanbrugh,1872
Vivian Vance,1911
Lee VanCleef,1925
Jose vanDam,
Trish VanDevere,1943
Mamie VanDoren,1933
Barry VanDyke,
Conny VanDyke,
Dick VanDyke,1925
Charles Vanel,1892
Peter VanEyck,1911
John VanEyssen,1925
Jo VanFleet,1919
Kevin VanHentenryck,
Jon VanNess,
Rik VanNutter,
Nina VanPallandt,1932
Dick VanPatten,1928
Jimmie VanPatten,
Joyce VanPatten,1934
Timothy VanPatten,
Vincent VanPatten,
Deborah VanRhyn,
Luis VanRooten,1906
Edward VanSloan,1882
Deborah VanValkenburgh,
Monique VanVooren,
Philip VanZandt,1904
Victor Varconi,1896
Evelyn Varden,1895
Norma Varden,1898
Leonor Varela,1985
Valentina Vargas,
Beatrice Varley,1896
Reg Varney,1922
Diane Varsi,1938
Frankie Vaughan,1928
"Peter Vaughan ",1923
Martin Vaughn,
Robert Vaughn,1932
Conrad Veidt,1893
Lupe Velez,1908
Reginald VelJohnson,
Evelyn Venable,1913
Amy Veness,1876
Chick Vennera,
Diane Venora,
Wanda Ventham,
Lino Ventura,1919
VeraEllen,1920
Gwen Verdon,1925
Ellen Verdugo,1926
Ben Vereen,1946
Karen Verne,1915
Jerry Verno,1895
Anne Vernon,1925
John Vernon,1935
Wally Vernon,1904
Odile Versois,1930
Verushka,
Virginia Vestoff,
Victoria Vetri,1944
Marcel Vibert,
Martha Vickers,1925
Charles Victor,1896
Henry Victor,1898
Henri Vidal,1919
Florence Vidor,1895
Asia Viera,
Abe Vigoda,1919
Robert Viharo,
Tony Vilar,
Henri Vilbert,
Frank Villard,1917
Herve Villechaize,1943
James Villiers,1933
Jan-Michael Vincent,1944
June Vincent,1919
Helen Vinson,1907
Jesse Vint,
Enzo Vitale,
Mario Vitale,
Milly Vitale,1928
Monica Vitti,1933
Viva,
Ruth Vivian,
Marina Vlady,1938
Karl Michael Vogler,1928
Jon Voight,1938
Gian Maria Volonte,1930
Ferdinand vonAlten,
Thomas vonBromssen,
Lenny VonDohlen,
Gustav vonSeyffertitz,1863
Erich VonStroheim,1885
Max vonSydow,1929
Gustav vonWangenheim,
George Voskovec,1905
Frank Vosper,1899
Andreas Voutsina,
Milena Vukotic,
Murvyn Vye,1913
Henry Wadsworth,1902
John Wade,
Russel Wade,
Anthony Wager,1933
Christie Wagner,
Lindsay Wagner,1949
Robert Wagner,1930
Ken Wahl,1956
James Wainwright,
Ralph Waite,1928
Akiko Wakabayashi,
Eijo Wakabayashi,
Duggie Wakefield,1899
Hugh Wakefield,1888
Anton Walbrook,1900
Raymond Walburn,1887
Christopher Walken,1943
Clint Walker,1927
Helen Walker,1921
Kathryn Walker,
Maggie Walker,
Nancy Walker,1921
Nella Walker,1886
Robert Walker,1914
Robert Walker~jr.,1941
Syd Walker,1887
Tippy Walker,
Zena Walker,1934
Max Wall,
Bill Wallace,
Dee Wallace,
Jean Wallace,1923
Eli Wallach,1915
Bill Wallis,
Shani Wallis,1938
Tom Walls,1883
Hugh Walpole,1884
Dermot Walsh,1924
J.T. Walsh,1944
Kay Walsh,1914
Ray Walston,1917
Jessica Walter,1944
Julie Walter,
Tracey Walter,
Julie Walters,
Thorley Walters,1913
Henry B. Walthall,1878
Sam Wanamaker,1919
Jimmy WangYu,
Fannie Ward,1865
Fred Ward,
Michael Ward,1915
Polly Ward,1908
Rachel Ward,1957
Simon Ward,1920
Jack Warden,1920
Herta Ware,
Andy Warhol,1926
S.J. Warmington,
David Warner,
H.B. Warner,1876
Jack Warner,1894
Marcia Warner,
C. Denier Warren,1889
Fran Warren,
Jennifer Warren,1941
Lesley Ann Warren,1946
Michael Warren,
Harold Warrender,1903
Ruth Warrick,1915
David Warrilow,
Dionne Warwick,
John Warwich,1905
Richard Warwick,
Robert Warwick,1878
Mona Washbourne,1903
Beverly Washburn,
Bryant Washburn,1988
Denzel Washington,1955
Mavis Washington,
Ted Wass,
Craig Wasson,1954
Gedde Watanabe,
Dennis Waterman,1948
William Waterman,
Ethel Waters,1896
John Waters,
Russell Waters,1908
Sam Waterston,1940
Pierre Watkin,1894
Charlene Watkins,
Jack Watling,1923
Bobby Watson,
Bobs Watson,1931
Douglass Watson,
Emily Watson,1967
Jack Watson,1921
Lucile Watson,1879
Minor Watson,1889
Robert Watson,1888
Timothy Watson,
Wylie Watson,1889
Richard Wattis,1912
Kristina Wayborn,
David Wayne,1914
E-than Wayne,
John Wayne,1907
Johnny Wayne,
Keith Wayne,
Michael Wayne,
Naunton Wayne,1901
Nina Wayne,
Patrick Wayne,1939
Carl Weathers,
Dennis Weaver,1924
Doodles Weaver,1911
Fritz Weaver,1926
Marjorie Weaver,1913
Sigourney Weaver,1949
Alan Webb,1906
Clifton Webb,1893
Jack Webb,1920
Richard Webb,
Robert Webber,1928
